Dimensi,Aspek,Arti,Perilaku Kuat,Perilaku Lemah
Motivation,Competitive (Kompetitif),"Individu yang memiliki talenta ini melihat kompetisi sebagai cara hidup. Menjadi yang terbaik adalah sebuah tujuan karena mereka suka menang dan tidak suka kalah. Mereka senantiasa melihat ke kiri dan kanan, sehingga mereka tidak tertinggal; hal ini mendorong mereka untuk berbuat lebih banyak, mencapai lebih tinggi, dan melampaui batas. Sangat penting bagi mereka untuk menjadi yang teratas; oleh karena itu, mereka menyukai hasil yang terukur dimana mereka dapat membandingkan diri mereka dengan yang terbaik. Mereka tahu mana yang harus diperjuangkan dan mana yang harus diabaikan. Ketika diragukan, mereka terdorong untuk membuktikan kemampuan mereka. Energi untuk menang ini tidak hanya memengaruhi cara mereka bekerja, tetapi juga mempengaruhi orang-orang di sekitar mereka untuk mencapai puncak bersamasama.",Merespon secara positif dan bersemangat ketika diberikan tantangan.,"Menginginkan validasi hanya dengan partisipasi, bukan prestasi."
Motivation,Competitive (Kompetitif),"Individu yang memiliki talenta ini melihat kompetisi sebagai cara hidup. Menjadi yang terbaik adalah sebuah tujuan karena mereka suka menang dan tidak suka kalah. Mereka senantiasa melihat ke kiri dan kanan, sehingga mereka tidak tertinggal; hal ini mendorong mereka untuk berbuat lebih banyak, mencapai lebih tinggi, dan melampaui batas. Sangat penting bagi mereka untuk menjadi yang teratas; oleh karena itu, mereka menyukai hasil yang terukur dimana mereka dapat membandingkan diri mereka dengan yang terbaik. Mereka tahu mana yang harus diperjuangkan dan mana yang harus diabaikan. Ketika diragukan, mereka terdorong untuk membuktikan kemampuan mereka. Energi untuk menang ini tidak hanya memengaruhi cara mereka bekerja, tetapi juga mempengaruhi orang-orang di sekitar mereka untuk mencapai puncak bersamasama.",Sangat kecewa ketika mengalami kekalahan.,Menyukai tujuan yang mudah dicapai dibandingkan dengan tujuan yang sulit digapai.
Motivation,Directive (Suka Mengarahkan),"Individu yang memiliki talenta ini tidak ragu dalam mengambil sikap. Dengan pemikiran yang kuat atas arah situasi yang sedang terjadi, mereka merasa perlu untuk memberikan instruksi kepada orang lain atas apa yang harus dilakukan. Mereka pandai dalam memilah atas apa yang perlu dan tidak perlu disampaikan terhadap orang-orang tertentu, sehingga menghindari kebingungan dan memberi pemahaman yang jelas. Kekuatan mereka semakin bersinar sebagai pemimpin di dalam kondisi yang kacau, karena mereka menjaga ketenangan dan memberi arah tanpa ragu. Kepemimpinan dan keberanian yang mereka miliki membuat orang-orang secara alami tertarik pada mereka dan mengikutinya.",Memberi kejelasan arah ketika banyak orang merasakan kekacauan atau kebingungan.,"Mendengarkan pandangan tim sebelum menetapkan keputusan, mempertimbangkan ide lain meski sudah punya arah awal"
Motivation,Directive (Suka Mengarahkan),"Individu yang memiliki talenta ini tidak ragu dalam mengambil sikap. Dengan pemikiran yang kuat atas arah situasi yang sedang terjadi, mereka merasa perlu untuk memberikan instruksi kepada orang lain atas apa yang harus dilakukan. Mereka pandai dalam memilah atas apa yang perlu dan tidak perlu disampaikan terhadap orang-orang tertentu, sehingga menghindari kebingungan dan memberi pemahaman yang jelas. Kekuatan mereka semakin bersinar sebagai pemimpin di dalam kondisi yang kacau, karena mereka menjaga ketenangan dan memberi arah tanpa ragu. Kepemimpinan dan keberanian yang mereka miliki membuat orang-orang secara alami tertarik pada mereka dan mengikutinya.",Memilah penyampaian agar sesuai dengan apa yang lawan bicara perlu diketahui.,Memberi kepercayaan kepada anggota tim untuk mengatur langkah sendiri sesuai tujuan
Motivation,Directive (Suka Mengarahkan),"Individu yang memiliki talenta ini tidak ragu dalam mengambil sikap. Dengan pemikiran yang kuat atas arah situasi yang sedang terjadi, mereka merasa perlu untuk memberikan instruksi kepada orang lain atas apa yang harus dilakukan. Mereka pandai dalam memilah atas apa yang perlu dan tidak perlu disampaikan terhadap orang-orang tertentu, sehingga menghindari kebingungan dan memberi pemahaman yang jelas. Kekuatan mereka semakin bersinar sebagai pemimpin di dalam kondisi yang kacau, karena mereka menjaga ketenangan dan memberi arah tanpa ragu. Kepemimpinan dan keberanian yang mereka miliki membuat orang-orang secara alami tertarik pada mereka dan mengikutinya.",Berani dan tidak goyah dalam mengambil alih dan memimpin dari depan.,Mampu membaca suasana tim dan menyesuaikan arahan agar tetap realistis terhadap beban kerja
Motivation,Directive (Suka Mengarahkan),"Individu yang memiliki talenta ini tidak ragu dalam mengambil sikap. Dengan pemikiran yang kuat atas arah situasi yang sedang terjadi, mereka merasa perlu untuk memberikan instruksi kepada orang lain atas apa yang harus dilakukan. Mereka pandai dalam memilah atas apa yang perlu dan tidak perlu disampaikan terhadap orang-orang tertentu, sehingga menghindari kebingungan dan memberi pemahaman yang jelas. Kekuatan mereka semakin bersinar sebagai pemimpin di dalam kondisi yang kacau, karena mereka menjaga ketenangan dan memberi arah tanpa ragu. Kepemimpinan dan keberanian yang mereka miliki membuat orang-orang secara alami tertarik pada mereka dan mengikutinya.",Tidak segan menegur jika ada yang tidak mengikuti arahan.,Mengoreksi kesalahan dengan cara membangun dan memberi solusi
Motivation,Contemplative (Pemikir),"Individu ini dapat memahami diri dan situasi secara mendalam. Mereka cenderung lebih suka menghabiskan waktu sendirian karena itu adalah waktu mereka untuk merenung dan merefleksikan diri. Senang berintrospeksi, mereka bertanya pada dirinya sendiri dan mencoba menjawabnya. Melalui percakapan yang ada di kepalanya, mereka membuka pandangan baru atau merenungkan apa yang salah. Mereka adalah kaum intelektual yang terus-menerus melatih ""otot otak"" mereka. Dengan sifat kontemplatif dan serius, mereka membangun kesadaran diri yang membuat mereka semakin bijak dalam melihat dunia.",Secara mendalam mempertimbangkan konsep teoretis dan filosofis yang kompleks.,Cenderung melihat konsep teoretis atau filosofis sebagai hal yang membosankan.
Motivation,Contemplative (Pemikir),"Individu ini dapat memahami diri dan situasi secara mendalam. Mereka cenderung lebih suka menghabiskan waktu sendirian karena itu adalah waktu mereka untuk merenung dan merefleksikan diri. Senang berintrospeksi, mereka bertanya pada dirinya sendiri dan mencoba menjawabnya. Melalui percakapan yang ada di kepalanya, mereka membuka pandangan baru atau merenungkan apa yang salah. Mereka adalah kaum intelektual yang terus-menerus melatih ""otot otak"" mereka. Dengan sifat kontemplatif dan serius, mereka membangun kesadaran diri yang membuat mereka semakin bijak dalam melihat dunia.",Menyediakan waktu yang cukup untuk refleksi dan introspeksi diri.,Kurang menyediakan waktu berkaca pada diri sendiri.
Motivation,Contemplative (Pemikir),"Individu ini dapat memahami diri dan situasi secara mendalam. Mereka cenderung lebih suka menghabiskan waktu sendirian karena itu adalah waktu mereka untuk merenung dan merefleksikan diri. Senang berintrospeksi, mereka bertanya pada dirinya sendiri dan mencoba menjawabnya. Melalui percakapan yang ada di kepalanya, mereka membuka pandangan baru atau merenungkan apa yang salah. Mereka adalah kaum intelektual yang terus-menerus melatih ""otot otak"" mereka. Dengan sifat kontemplatif dan serius, mereka membangun kesadaran diri yang membuat mereka semakin bijak dalam melihat dunia.",Memikirkan dan merumuskan ide secara matang sebelum menyampaikannya.,Berpikir sambil berbicara.
Motivation,Contemplative (Pemikir),"Individu ini dapat memahami diri dan situasi secara mendalam. Mereka cenderung lebih suka menghabiskan waktu sendirian karena itu adalah waktu mereka untuk merenung dan merefleksikan diri. Senang berintrospeksi, mereka bertanya pada dirinya sendiri dan mencoba menjawabnya. Melalui percakapan yang ada di kepalanya, mereka membuka pandangan baru atau merenungkan apa yang salah. Mereka adalah kaum intelektual yang terus-menerus melatih ""otot otak"" mereka. Dengan sifat kontemplatif dan serius, mereka membangun kesadaran diri yang membuat mereka semakin bijak dalam melihat dunia.",Lebih memilih strategi yang telah dipertimbangkan daripada aksi impulsif.,Menikmati segala sesuatu yang praktis dan berorientasi pada aksi.
Motivation,Explorer (Pembelajar),"Individu ini memiliki rasa ingin tahu yang tinggi, haus akan pengetahuan, dan secara konsisten mencari kesempatan belajar dalam setiap situasi atau interaksi dengan orang lain, berkelanjutan. Mereka menyelidiki dan mencoba memahami mengapa sesuatu terjadi dan membuat hal yang tidak diketahui menjadi diketahui. Hasilnya, mereka dapat memvisualisasikan, beradaptasi, dan menggunakan pengetahuan secara efektif. Mereka haus untuk mengetahui apa yang saat ini tidak mereka ketahui dan menjelajahi berbagai jalan untuk mendapatkan wawasan baru. Dalam proses mempertajam pengetahuan mereka, mereka menggali berbagai media, saluran, bacaan, tulisan,diskusi, dan teknologi. Melalui proses belajar, mereka mampu menerjemahkan, meneliti, dan memahami.",Sangat menikmati proses belajar,Terus-menerus mencari data/teori tambahan sehingga proyek/keputusan tidak pernah selesai
Motivation,Explorer (Pembelajar),"Individu ini memiliki rasa ingin tahu yang tinggi, haus akan pengetahuan, dan secara konsisten mencari kesempatan belajar dalam setiap situasi atau interaksi dengan orang lain, berkelanjutan. Mereka menyelidiki dan mencoba memahami mengapa sesuatu terjadi dan membuat hal yang tidak diketahui menjadi diketahui. Hasilnya, mereka dapat memvisualisasikan, beradaptasi, dan menggunakan pengetahuan secara efektif. Mereka haus untuk mengetahui apa yang saat ini tidak mereka ketahui dan menjelajahi berbagai jalan untuk mendapatkan wawasan baru. Dalam proses mempertajam pengetahuan mereka, mereka menggali berbagai media, saluran, bacaan, tulisan,diskusi, dan teknologi. Melalui proses belajar, mereka mampu menerjemahkan, meneliti, dan memahami.",Mengungkapkan pertanyaan untuk memahami suatu situasi,Terlalu banyak menganalisis kemungkinan sehingga tidak bertindak
Motivation,Explorer (Pembelajar),"Individu ini memiliki rasa ingin tahu yang tinggi, haus akan pengetahuan, dan secara konsisten mencari kesempatan belajar dalam setiap situasi atau interaksi dengan orang lain, berkelanjutan. Mereka menyelidiki dan mencoba memahami mengapa sesuatu terjadi dan membuat hal yang tidak diketahui menjadi diketahui. Hasilnya, mereka dapat memvisualisasikan, beradaptasi, dan menggunakan pengetahuan secara efektif. Mereka haus untuk mengetahui apa yang saat ini tidak mereka ketahui dan menjelajahi berbagai jalan untuk mendapatkan wawasan baru. Dalam proses mempertajam pengetahuan mereka, mereka menggali berbagai media, saluran, bacaan, tulisan,diskusi, dan teknologi. Melalui proses belajar, mereka mampu menerjemahkan, meneliti, dan memahami.",Senang membaca buku dan meneliti pengetahuan baru,Banyak membaca/bertanya tapi sedikit menerjemahkan ke praktik
Motivation,Explorer (Pembelajar),"Individu ini memiliki rasa ingin tahu yang tinggi, haus akan pengetahuan, dan secara konsisten mencari kesempatan belajar dalam setiap situasi atau interaksi dengan orang lain, berkelanjutan. Mereka menyelidiki dan mencoba memahami mengapa sesuatu terjadi dan membuat hal yang tidak diketahui menjadi diketahui. Hasilnya, mereka dapat memvisualisasikan, beradaptasi, dan menggunakan pengetahuan secara efektif. Mereka haus untuk mengetahui apa yang saat ini tidak mereka ketahui dan menjelajahi berbagai jalan untuk mendapatkan wawasan baru. Dalam proses mempertajam pengetahuan mereka, mereka menggali berbagai media, saluran, bacaan, tulisan,diskusi, dan teknologi. Melalui proses belajar, mereka mampu menerjemahkan, meneliti, dan memahami.",Memiliki rasa penasaran yang tinggi untuk menguasai suatu ilmu.,"Mengejar pembelajaran sampai mengabaikan aturan, anggaran, atau timeline"
Motivation,Equitable (Kesetaraan),"Individu ini memiliki kebutuhan yang kuat untuk memperlakukan semua orang sama. Ketika mereka lebih berfokus pada satu orang saja dibanding yang lainnya, mereka menganggapnya sebagai suatu keegoisan dan individualisme. Mereka adalah penjaga dari ketidakadilan dan ketidaksetaraan. Mereka percaya bahwa orang akan merasa baik jika mereka memiliki lingkungan yang konsisten, yaitu ketika terdapat aturan dan pedoman yang jelas dimana setiap orang diperlakukan sama. Mereka percaya bahwa aturan ini akan menegakkan keadilan tanpa memandang ras, jenis kelamin, agama, latar belakang, dan status sosial ekonomi, di mana setiap orang berhak atas hak yang sama",Mempercayai bahwa setiap orang ingin diperlakukan dengan cara yang sama.,Menyesuaikan aturan untuk orang yang berbeda sesuai dengan kebutuhannya.
Motivation,Equitable (Kesetaraan),"Individu ini memiliki kebutuhan yang kuat untuk memperlakukan semua orang sama. Ketika mereka lebih berfokus pada satu orang saja dibanding yang lainnya, mereka menganggapnya sebagai suatu keegoisan dan individualisme. Mereka adalah penjaga dari ketidakadilan dan ketidaksetaraan. Mereka percaya bahwa orang akan merasa baik jika mereka memiliki lingkungan yang konsisten, yaitu ketika terdapat aturan dan pedoman yang jelas dimana setiap orang diperlakukan sama. Mereka percaya bahwa aturan ini akan menegakkan keadilan tanpa memandang ras, jenis kelamin, agama, latar belakang, dan status sosial ekonomi, di mana setiap orang berhak atas hak yang sama","Tidak memperlakukan orang secara berbeda, semua orang berada pada posisi yang sama.",Memiliki orang-orang tertentu yang mereka sukai lebih dari yang lain.
Motivation,Equitable (Kesetaraan),"Individu ini memiliki kebutuhan yang kuat untuk memperlakukan semua orang sama. Ketika mereka lebih berfokus pada satu orang saja dibanding yang lainnya, mereka menganggapnya sebagai suatu keegoisan dan individualisme. Mereka adalah penjaga dari ketidakadilan dan ketidaksetaraan. Mereka percaya bahwa orang akan merasa baik jika mereka memiliki lingkungan yang konsisten, yaitu ketika terdapat aturan dan pedoman yang jelas dimana setiap orang diperlakukan sama. Mereka percaya bahwa aturan ini akan menegakkan keadilan tanpa memandang ras, jenis kelamin, agama, latar belakang, dan status sosial ekonomi, di mana setiap orang berhak atas hak yang sama",Memastikan bahwa setiap orang menerima keadilan.,Merelakan ketika mereka tidak mendapat hak ataupun dituntut kewajiban yang sama dengan orang lain.
Motivation,Equitable (Kesetaraan),"Individu ini memiliki kebutuhan yang kuat untuk memperlakukan semua orang sama. Ketika mereka lebih berfokus pada satu orang saja dibanding yang lainnya, mereka menganggapnya sebagai suatu keegoisan dan individualisme. Mereka adalah penjaga dari ketidakadilan dan ketidaksetaraan. Mereka percaya bahwa orang akan merasa baik jika mereka memiliki lingkungan yang konsisten, yaitu ketika terdapat aturan dan pedoman yang jelas dimana setiap orang diperlakukan sama. Mereka percaya bahwa aturan ini akan menegakkan keadilan tanpa memandang ras, jenis kelamin, agama, latar belakang, dan status sosial ekonomi, di mana setiap orang berhak atas hak yang sama",Merasa terganggu ketika ada perlakuan khusus untuk satu orang yang tidak diterapkan pada orang lain.,Merasa baik-baik saja ketika tidak ada aturan yang diterapkan
Motivation,Goal-Getter (Pencapai Target),"Individu ini memiliki dorongan internal untuk mencapai tujuan yang sudah mereka tentukan. Mereka mengerahkan segala upaya untuk mewujudkan tujuan mereka. Dimulai dengan menetapkan tujuan sebagai seorang goal-seeker, kemudian menargetkan untuk mencapai sesuatu yang nyata di penghujung hari. Mereka memiliki api yang menyala-nyala dari dalam diri yang mendorong mereka untuk berbuat lebih banyak dan mencapai lebih banyak mimpi. Mereka merasa hidup menjadi lebih berarti setelah mereka mencapai target. Setelah setiap pencapaian, api tersebut akan padam sejenak, namun akan segera menyala kembali, sehingga mendorong mereka untuk mencapai pencapaian berikutnya. Dorongan internal yang kuat ini mendorong mereka untuk menjadi produktif dan termotivasi untuk menjadi lebih baik dari sebelumnya.","Merasa tertantang untuk mencapai target, mereka terus mencari cara untuk meningkatkan kinerja dan hasilnya.",Lebih memilih untuk mengikuti arus.
Motivation,Goal-Getter (Pencapai Target),"Individu ini memiliki dorongan internal untuk mencapai tujuan yang sudah mereka tentukan. Mereka mengerahkan segala upaya untuk mewujudkan tujuan mereka. Dimulai dengan menetapkan tujuan sebagai seorang goal-seeker, kemudian menargetkan untuk mencapai sesuatu yang nyata di penghujung hari. Mereka memiliki api yang menyala-nyala dari dalam diri yang mendorong mereka untuk berbuat lebih banyak dan mencapai lebih banyak mimpi. Mereka merasa hidup menjadi lebih berarti setelah mereka mencapai target. Setelah setiap pencapaian, api tersebut akan padam sejenak, namun akan segera menyala kembali, sehingga mendorong mereka untuk mencapai pencapaian berikutnya. Dorongan internal yang kuat ini mendorong mereka untuk menjadi produktif dan termotivasi untuk menjadi lebih baik dari sebelumnya.","Ketika mereka telah mencapai suatu tujuan, mereka tidak sabar untuk mencapai objektif berikutnya.",Kurang memiliki motivasi untuk menetapkan target.
Motivation,Goal-Getter (Pencapai Target),"Individu ini memiliki dorongan internal untuk mencapai tujuan yang sudah mereka tentukan. Mereka mengerahkan segala upaya untuk mewujudkan tujuan mereka. Dimulai dengan menetapkan tujuan sebagai seorang goal-seeker, kemudian menargetkan untuk mencapai sesuatu yang nyata di penghujung hari. Mereka memiliki api yang menyala-nyala dari dalam diri yang mendorong mereka untuk berbuat lebih banyak dan mencapai lebih banyak mimpi. Mereka merasa hidup menjadi lebih berarti setelah mereka mencapai target. Setelah setiap pencapaian, api tersebut akan padam sejenak, namun akan segera menyala kembali, sehingga mendorong mereka untuk mencapai pencapaian berikutnya. Dorongan internal yang kuat ini mendorong mereka untuk menjadi produktif dan termotivasi untuk menjadi lebih baik dari sebelumnya.",Merasa puas ketika mereka dapat mencoret daftar tugas dan menyelesaikan apa yang sudah mereka canangkan.,Lebih memilih target yang mudah dicapai dari pada yang menantang.
Motivation,Goal-Getter (Pencapai Target),"Individu ini memiliki dorongan internal untuk mencapai tujuan yang sudah mereka tentukan. Mereka mengerahkan segala upaya untuk mewujudkan tujuan mereka. Dimulai dengan menetapkan tujuan sebagai seorang goal-seeker, kemudian menargetkan untuk mencapai sesuatu yang nyata di penghujung hari. Mereka memiliki api yang menyala-nyala dari dalam diri yang mendorong mereka untuk berbuat lebih banyak dan mencapai lebih banyak mimpi. Mereka merasa hidup menjadi lebih berarti setelah mereka mencapai target. Setelah setiap pencapaian, api tersebut akan padam sejenak, namun akan segera menyala kembali, sehingga mendorong mereka untuk mencapai pencapaian berikutnya. Dorongan internal yang kuat ini mendorong mereka untuk menjadi produktif dan termotivasi untuk menjadi lebih baik dari sebelumnya.",Menetapkan target untuk diri mereka sendiri bahkan ketika tidak diminta.,Tugas yang terlalu menantang kemungkinan dirasa sebagai beban.
Motivation,Noble (Idealis),"Individu yang memiliki talenta ini memiliki nilai-nilai inti kehidupan yang bertahan lama. Mereka berorientasi pada prinsip-prinsip, seperti keluarga, altruistik, spiritual, ataupun etika; hal ini dapat bervariasi dari satu orang ke orang lain. Nilai-nilai ini memberi makna dan kepuasan dalam hidup mereka serta memberi bayangan masa depan yang mereka tuju dan lingkungan di mana mereka ingin berada. Nilai-nilai ini menciptakan pedoman dan batasan tentang bagaimana mereka harus berperilaku dan memisahkan antara yang benar dan salah. Dalam pandangan mereka, kesuksesan lebih dari sekedar uang dan prestise. Nilai-nilai ini memberi mereka arah, membimbing mereka melampaui godaan dan gangguan dalam hidup menuju serangkaian prioritas yang konsisten.",Selalu berpegang pada prinsip yang kuat.,Memegang teguh nilai atau prinsip sampai menolak alternatif atau konteks lain
Motivation,Noble (Idealis),"Individu yang memiliki talenta ini memiliki nilai-nilai inti kehidupan yang bertahan lama. Mereka berorientasi pada prinsip-prinsip, seperti keluarga, altruistik, spiritual, ataupun etika; hal ini dapat bervariasi dari satu orang ke orang lain. Nilai-nilai ini memberi makna dan kepuasan dalam hidup mereka serta memberi bayangan masa depan yang mereka tuju dan lingkungan di mana mereka ingin berada. Nilai-nilai ini menciptakan pedoman dan batasan tentang bagaimana mereka harus berperilaku dan memisahkan antara yang benar dan salah. Dalam pandangan mereka, kesuksesan lebih dari sekedar uang dan prestise. Nilai-nilai ini memberi mereka arah, membimbing mereka melampaui godaan dan gangguan dalam hidup menuju serangkaian prioritas yang konsisten.",Mengekspresikan dan mempertahankan apa yang mereka yakini dengan penuh percaya diri.,Cenderung menilai atau mengkritik rekan kerja berdasarkan standar moral/etika sendiri.
